model_name|prompt|response|muid|mu_val|D|D_num|D_denom|A_num|LogA
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|0|<bos>|-11.514778137207031|-99.96540069580078|-88.45062255859375|-2.266266345977783|9.248512268066406
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|1|Sentence|-3.3458480834960938|-91.89761352539062|-88.55176544189453|-2.266266345977783|1.0795817375183105
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|2|:|-3.0407638549804688|-80.80594635009766|-77.76518249511719|-2.266266345977783|0.7744975090026855
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|3| "|-2.25946044921875|-80.62129974365234|-78.3618392944336|-2.266266345977783|-0.006805896759033203
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|4|The|-2.2574462890625|-78.67298126220703|-76.41553497314453|-2.266266345977783|-0.008820056915283203
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|5| water|-2.500518798828125|-78.6183090209961|-76.11779022216797|-2.266266345977783|0.2342524528503418
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|6| bottle|-2.6628189086914062|-71.14521026611328|-68.48239135742188|-2.266266345977783|0.39655256271362305
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|7| didn|-2.3072586059570312|-66.36972045898438|-64.06246185302734|-2.266266345977783|0.04099225997924805
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|8|'|-2.2687454223632812|-59.445072174072266|-57.176326751708984|-2.266266345977783|0.002479076385498047
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|9|t|-2.2558250427246094|-59.44267272949219|-57.18684768676758|-2.266266345977783|-0.010441303253173828
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|10| fit|-2.2556495666503906|-59.441837310791016|-57.186187744140625|-2.266266345977783|-0.010616779327392578
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|11| into|-2.2063217163085938|-52.32672882080078|-50.12040710449219|-2.266266345977783|-0.05994462966918945
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|12| the|-2.3426551818847656|-53.06166458129883|-50.71900939941406|-2.266266345977783|0.07638883590698242
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|13| bag|-6.265941619873047|-53.55009460449219|-47.28415298461914|-2.266266345977783|3.9996752738952637
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|14| because|-2.1717758178710938|-48.41367721557617|-46.24190139770508|-2.266266345977783|-0.09449052810668945
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|15| it|-2.2599143981933594|-47.13653564453125|-44.87662124633789|-2.266266345977783|-0.006351947784423828
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|16| was|-2.255847930908203|-46.71818542480469|-44.462337493896484|-2.266266345977783|-0.010418415069580078
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|17| too|-2.2557601928710938|-46.68337631225586|-44.427616119384766|-2.266266345977783|-0.010506153106689453
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|18| big|-2.2400970458984375|-43.896141052246094|-41.656044006347656|-2.266266345977783|-0.026169300079345703
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|19|."|-2.386138916015625|-44.18111038208008|-41.79497146606445|-2.266266345977783|0.1198725700378418
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|20| Question|-3.148082733154297|-43.814205169677734|-40.66612243652344|-2.266266345977783|0.8818163871765137
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|21|:|-2.2568721771240234|-27.011259078979492|-24.75438690185547|-2.266266345977783|-0.009394168853759766
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|22| "|-4.0459184646606445|-16.536876678466797|-12.490958213806152|-2.266266345977783|1.7796521186828613
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|23|What|-2.262674331665039|-19.147218704223633|-16.884544372558594|-2.266266345977783|-0.0035920143127441406
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|24| is|-2.261629104614258|-18.9259033203125|-16.664274215698242|-2.266266345977783|-0.004637241363525391
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|25| '|-2.255910873413086|-18.57418441772461|-16.318273544311523|-2.266266345977783|-0.010355472564697266
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|26|it|-2.562901020050049|-9.504287719726562|-6.941386699676514|-2.266266345977783|0.2966346740722656
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|27|'|-2.260690212249756|-7.663735866546631|-5.403045654296875|-2.266266345977783|-0.005576133728027344
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|28| referring|-2.257007122039795|-7.650991439819336|-5.393984317779541|-2.266266345977783|-0.009259223937988281
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|29| to|-2.2559304237365723|-7.63545036315918|-5.379519939422607|-2.266266345977783|-0.010335922241210938
google/gemma-3-1b-it|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?|NEWLINENEWLINEa) The water bottleNEWLINEb) The bagNEWLINEc) The water bottleNEWLINEd)|30|?|-5.86141300201416|-5.86141300201416|-8.754432201385498e-08|-2.266266345977783|3.595146656036377
