model_name|prompt|response|muid|mu_val|D|D_num|D_denom|A_num|LogA|time
Qwen/Qwen3-1.7B|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment. What is the most likely reason for her to feel a sense of accomplishment? A. She|0|Dr|-14.218658447265625|-136.05142211914062|-121.832763671875|-10.788655281066895|3.4300031661987305|274.50130558013916
Qwen/Qwen3-1.7B|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment. What is the most likely reason for her to feel a sense of accomplishment? A. She|1|.|-12.350624084472656|-130.7303009033203|-118.37967681884766|-10.788655281066895|1.5619688034057617|279.08808851242065
Qwen/Qwen3-1.7B|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment. What is the most likely reason for her to feel a sense of accomplishment? A. She|2| Chang|-11.935317993164062|-126.06604766845703|-114.13072967529297|-10.788655281066895|1.146662712097168|279.4014427661896
Qwen/Qwen3-1.7B|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment. What is the most likely reason for her to feel a sense of accomplishment? A. She|3| was|-10.792045593261719|-117.05282592773438|-106.26078033447266|-10.788655281066895|0.0033903121948242188|279.97036695480347
Qwen/Qwen3-1.7B|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment. What is the most likely reason for her to feel a sense of accomplishment? A. She|4| excited|-10.797203063964844|-113.12181854248047|-102.32461547851562|-10.788655281066895|0.008547782897949219|279.3414134979248
Qwen/Qwen3-1.7B|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment. What is the most likely reason for her to feel a sense of accomplishment? A. She|5| about|-10.78436279296875|-107.0638427734375|-96.27947998046875|-10.788655281066895|-0.004292488098144531|279.2276449203491
Qwen/Qwen3-1.7B|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment. What is the most likely reason for her to feel a sense of accomplishment? A. She|6| her|-10.512481689453125|-104.39141082763672|-93.8789291381836|-10.788655281066895|-0.27617359161376953|280.01154255867004
Qwen/Qwen3-1.7B|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment. What is the most likely reason for her to feel a sense of accomplishment? A. She|7| hike|-10.543342590332031|-96.40656280517578|-85.86322021484375|-10.788655281066895|-0.24531269073486328|279.05500316619873
Qwen/Qwen3-1.7B|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment. What is the most likely reason for her to feel a sense of accomplishment? A. She|8| to|-10.870491027832031|-89.9517822265625|-79.08129119873047|-10.788655281066895|0.08183574676513672|279.91711831092834
Qwen/Qwen3-1.7B|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment. What is the most likely reason for her to feel a sense of accomplishment? A. She|9| the|-10.786582946777344|-89.77188873291016|-78.98530578613281|-10.788655281066895|-0.0020723342895507812|278.1840319633484
Qwen/Qwen3-1.7B|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment. What is the most likely reason for her to feel a sense of accomplishment? A. She|10| mountains|-10.703010559082031|-88.70215606689453|-77.9991455078125|-10.788655281066895|-0.08564472198486328|278.9269857406616
Qwen/Qwen3-1.7B|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment. What is the most likely reason for her to feel a sense of accomplishment? A. She|11|.|-10.7899169921875|-85.92510223388672|-75.13518524169922|-10.788655281066895|0.0012617111206054688|278.3675801753998
Qwen/Qwen3-1.7B|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment. What is the most likely reason for her to feel a sense of accomplishment? A. She|12| She|-10.786720275878906|-85.38465118408203|-74.59793090820312|-10.788655281066895|-0.0019350051879882812|278.7436499595642
