model_name|prompt|response|muid|mu_val|D|D_num|D_denom|A_num|LogA|time
openai-community/gpt2|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely.NEWLINENEWLINENEWLINE"You know, this is my apartment. It's my room. I|0|The|-36.91572570800781|-197.08299255371094|-160.16726684570312|-33.58308029174805|3.3326454162597656|20.89693307876587
openai-community/gpt2|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely.NEWLINENEWLINENEWLINE"You know, this is my apartment. It's my room. I|1| police|-37.79948425292969|-191.32818603515625|-153.52870178222656|-33.58308029174805|4.216403961181641|20.693840980529785
openai-community/gpt2|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely.NEWLINENEWLINENEWLINE"You know, this is my apartment. It's my room. I|2| officer|-37.06108093261719|-186.82342529296875|-149.76234436035156|-33.58308029174805|3.4780006408691406|20.942952632904053
openai-community/gpt2|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely.NEWLINENEWLINENEWLINE"You know, this is my apartment. It's my room. I|3| walked|-37.101654052734375|-181.1009979248047|-143.9993438720703|-33.58308029174805|3.518573760986328|21.00864338874817
openai-community/gpt2|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely.NEWLINENEWLINENEWLINE"You know, this is my apartment. It's my room. I|4| into|-36.89009094238281|-173.95431518554688|-137.06422424316406|-33.58308029174805|3.3070106506347656|20.727439165115356
openai-community/gpt2|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely.NEWLINENEWLINENEWLINE"You know, this is my apartment. It's my room. I|5| the|-36.72509765625|-173.70025634765625|-136.97515869140625|-33.58308029174805|3.142017364501953|20.743433237075806
openai-community/gpt2|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely.NEWLINENEWLINENEWLINE"You know, this is my apartment. It's my room. I|6| room|-37.03324890136719|-171.62271118164062|-134.58946228027344|-33.58308029174805|3.4501686096191406|20.746341705322266
openai-community/gpt2|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely.NEWLINENEWLINENEWLINE"You know, this is my apartment. It's my room. I|7|,|-36.90711975097656|-169.8524169921875|-132.94529724121094|-33.58308029174805|3.3240394592285156|20.702571153640747
openai-community/gpt2|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely.NEWLINENEWLINENEWLINE"You know, this is my apartment. It's my room. I|8| carefully|-36.892852783203125|-166.77322387695312|-129.88037109375|-33.58308029174805|3.309772491455078|20.67981767654419
openai-community/gpt2|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely.NEWLINENEWLINENEWLINE"You know, this is my apartment. It's my room. I|9| examining|-36.987762451171875|-157.35369873046875|-120.36593627929688|-33.58308029174805|3.404682159423828|20.745402097702026
openai-community/gpt2|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely.NEWLINENEWLINENEWLINE"You know, this is my apartment. It's my room. I|10| every|-37.49462127685547|-152.18447875976562|-114.68985748291016|-33.58308029174805|3.911540985107422|20.669252157211304
openai-community/gpt2|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely.NEWLINENEWLINENEWLINE"You know, this is my apartment. It's my room. I|11| clue|-36.999114990234375|-145.94129943847656|-108.94218444824219|-33.58308029174805|3.416034698486328|20.927822828292847
openai-community/gpt2|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely.NEWLINENEWLINENEWLINE"You know, this is my apartment. It's my room. I|12|.|-36.906715393066406|-141.93934631347656|-105.03263092041016|-33.58308029174805|3.3236351013183594|20.630462169647217
openai-community/gpt2|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely.NEWLINENEWLINENEWLINE"You know, this is my apartment. It's my room. I|13| The|-36.917518615722656|-139.6409454345703|-102.72342681884766|-33.58308029174805|3.3344383239746094|20.7440345287323
openai-community/gpt2|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely.NEWLINENEWLINENEWLINE"You know, this is my apartment. It's my room. I|14| information|-36.90874481201172|-135.70614624023438|-98.79740142822266|-33.58308029174805|3.325664520263672|20.84473443031311
openai-community/gpt2|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely.NEWLINENEWLINENEWLINE"You know, this is my apartment. It's my room. I|15| was|-36.909523010253906|-130.86276245117188|-93.95323944091797|-33.58308029174805|3.3264427185058594|20.845319271087646
openai-community/gpt2|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely.NEWLINENEWLINENEWLINE"You know, this is my apartment. It's my room. I|16| sparse|-36.87982177734375|-125.66506958007812|-88.78524780273438|-33.58308029174805|3.296741485595703|20.671645164489746
openai-community/gpt2|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely.NEWLINENEWLINENEWLINE"You know, this is my apartment. It's my room. I|17|,|-36.90703582763672|-123.09882354736328|-86.19178771972656|-33.58308029174805|3.323955535888672|20.793081283569336
