model_name|prompt|response|muid|mu_val|D|D_num|D_denom|A_num|LogA
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|0|<|begin_of_text|>|-10.095687866210938|-97.04785919189453|-86.9521713256836|-9.843561172485352|0.25212669372558594
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|1|Sentence|-11.341033935546875|-94.01744079589844|-82.67640686035156|-9.843561172485352|1.4974727630615234
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|2|:|-9.85003662109375|-82.31825256347656|-72.46821594238281|-9.843561172485352|0.0064754486083984375
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|3| "|-9.844657897949219|-80.2832260131836|-70.43856811523438|-9.843561172485352|0.0010967254638671875
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|4|The|-9.885993957519531|-77.54830169677734|-67.66230773925781|-9.843561172485352|0.04243278503417969
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|5| water|-9.883941650390625|-76.07694244384766|-66.19300079345703|-9.843561172485352|0.04038047790527344
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|6| bottle|-9.942607879638672|-69.37789154052734|-59.43528366088867|-9.843561172485352|0.09904670715332031
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|7| didn|-9.799945831298828|-65.162841796875|-55.36289596557617|-9.843561172485352|-0.04361534118652344
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|8|'t|-9.84212875366211|-59.29447555541992|-49.45234680175781|-9.843561172485352|-0.0014324188232421875
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|9| fit|-9.845775604248047|-59.28481674194336|-49.43904113769531|-9.843561172485352|0.0022144317626953125
