model_name|prompt|response|muid|mu_val|D|D_num|D_denom|A_num|LogA
allenai/OLMo-2-0425-1B-Instruct|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEHe then turned his attention to the photographs on the wall. The images were|0|The|-38.85758972167969|-174.01417541503906|-135.15658569335938|-16.362857818603516|22.494731903076172
allenai/OLMo-2-0425-1B-Instruct|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEHe then turned his attention to the photographs on the wall. The images were|1| police|-38.754173278808594|-166.61581420898438|-127.86164093017578|-16.362857818603516|22.391315460205078
allenai/OLMo-2-0425-1B-Instruct|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEHe then turned his attention to the photographs on the wall. The images were|2| officer|-38.137611389160156|-156.641845703125|-118.50423431396484|-16.362857818603516|21.77475357055664
allenai/OLMo-2-0425-1B-Instruct|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEHe then turned his attention to the photographs on the wall. The images were|3| walked|-38.834815979003906|-155.87403869628906|-117.03922271728516|-16.362857818603516|22.47195816040039
allenai/OLMo-2-0425-1B-Instruct|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEHe then turned his attention to the photographs on the wall. The images were|4| into|-38.20507049560547|-147.36602783203125|-109.16095733642578|-16.362857818603516|21.842212677001953
allenai/OLMo-2-0425-1B-Instruct|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEHe then turned his attention to the photographs on the wall. The images were|5| the|-38.747772216796875|-149.75634765625|-111.00857543945312|-16.362857818603516|22.38491439819336
allenai/OLMo-2-0425-1B-Instruct|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEHe then turned his attention to the photographs on the wall. The images were|6| room|-39.94325256347656|-146.85577392578125|-106.91252136230469|-16.362857818603516|23.580394744873047
allenai/OLMo-2-0425-1B-Instruct|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEHe then turned his attention to the photographs on the wall. The images were|7|,|-38.743309020996094|-146.79217529296875|-108.04886627197266|-16.362857818603516|22.380451202392578
allenai/OLMo-2-0425-1B-Instruct|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEHe then turned his attention to the photographs on the wall. The images were|8| carefully|-38.82733154296875|-145.29296875|-106.46563720703125|-16.362857818603516|22.464473724365234
allenai/OLMo-2-0425-1B-Instruct|The police officer walked into the room, carefully examining every clue. The information was sparse, but he believed the clues would lead him to the truth. He looked at the doorknob, noticing something odd about it. He made a note to check it more| closely later.NEWLINENEWLINEHe then turned his attention to the photographs on the wall. The images were|9| examining|-38.909629821777344|-136.68470764160156|-97.77507781982422|-16.362857818603516|22.546772003173828
