model_name|prompt|response|muid|mu_val|D|D_num|D_denom|A_num|LogA
allenai/OLMo-2-0425-1B|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| " is it the correct answer to the question "When was the Cassini space probe launched to explore|0|Pass|-10.296455383300781|-133.40736389160156|-123.11090850830078|-9.60601806640625|0.6904373168945312
allenai/OLMo-2-0425-1B|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| " is it the correct answer to the question "When was the Cassini space probe launched to explore|1|age|-9.845993041992188|-124.92899322509766|-115.08300018310547|-9.60601806640625|0.2399749755859375
allenai/OLMo-2-0425-1B|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| " is it the correct answer to the question "When was the Cassini space probe launched to explore|2|:|-9.647705078125|-122.68106079101562|-113.03335571289062|-9.60601806640625|0.04168701171875
allenai/OLMo-2-0425-1B|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| " is it the correct answer to the question "When was the Cassini space probe launched to explore|3| "|-9.690147399902344|-122.61544799804688|-112.92530059814453|-9.60601806640625|0.08412933349609375
allenai/OLMo-2-0425-1B|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| " is it the correct answer to the question "When was the Cassini space probe launched to explore|4|In|-9.582710266113281|-118.82708740234375|-109.24437713623047|-9.60601806640625|-0.02330780029296875
allenai/OLMo-2-0425-1B|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| " is it the correct answer to the question "When was the Cassini space probe launched to explore|5| |-9.587165832519531|-115.96178436279297|-106.37461853027344|-9.60601806640625|-0.01885223388671875
allenai/OLMo-2-0425-1B|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| " is it the correct answer to the question "When was the Cassini space probe launched to explore|6|199|-9.128631591796875|-111.3547134399414|-102.22608184814453|-9.60601806640625|-0.477386474609375
allenai/OLMo-2-0425-1B|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| " is it the correct answer to the question "When was the Cassini space probe launched to explore|7|7|-9.639060974121094|-110.82331085205078|-101.18424987792969|-9.60601806640625|0.03304290771484375
allenai/OLMo-2-0425-1B|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| " is it the correct answer to the question "When was the Cassini space probe launched to explore|8|,|-9.530998229980469|-110.12220001220703|-100.59120178222656|-9.60601806640625|-0.07501983642578125
allenai/OLMo-2-0425-1B|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| " is it the correct answer to the question "When was the Cassini space probe launched to explore|9| NASA|-9.582916259765625|-110.09078979492188|-100.50787353515625|-9.60601806640625|-0.023101806640625
