model_name|prompt|response|muid|mu_val|D|D_num|D_denom|A_num|LogA
google/gemma-3-1b-it|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment.NEWLINENEWLINEHowever, she quickly realized that she was lost. The dense forest was confusing, and|0|<bos>|-14.102630615234375|-145.6560821533203|-131.55345153808594|-9.983301162719727|4.119329452514648
google/gemma-3-1b-it|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment.NEWLINENEWLINEHowever, she quickly realized that she was lost. The dense forest was confusing, and|1|Dr|-14.572441101074219|-138.86929321289062|-124.2968521118164|-9.983301162719727|4.589139938354492
google/gemma-3-1b-it|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment.NEWLINENEWLINEHowever, she quickly realized that she was lost. The dense forest was confusing, and|2|.|-11.294868469238281|-133.37237548828125|-122.07750701904297|-9.983301162719727|1.3115673065185547
google/gemma-3-1b-it|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment.NEWLINENEWLINEHowever, she quickly realized that she was lost. The dense forest was confusing, and|3| Chang|-10.242637634277344|-133.94375610351562|-123.70111846923828|-9.983301162719727|0.2593364715576172
google/gemma-3-1b-it|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment.NEWLINENEWLINEHowever, she quickly realized that she was lost. The dense forest was confusing, and|4| was|-11.389678955078125|-126.39027404785156|-115.00059509277344|-9.983301162719727|1.4063777923583984
google/gemma-3-1b-it|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment.NEWLINENEWLINEHowever, she quickly realized that she was lost. The dense forest was confusing, and|5| excited|-12.266914367675781|-120.61676025390625|-108.34984588623047|-9.983301162719727|2.2836132049560547
google/gemma-3-1b-it|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment.NEWLINENEWLINEHowever, she quickly realized that she was lost. The dense forest was confusing, and|6| about|-11.527290344238281|-114.05167388916016|-102.52438354492188|-9.983301162719727|1.5439891815185547
google/gemma-3-1b-it|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment.NEWLINENEWLINEHowever, she quickly realized that she was lost. The dense forest was confusing, and|7| her|-10.228012084960938|-113.42379760742188|-103.19578552246094|-9.983301162719727|0.24471092224121094
google/gemma-3-1b-it|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment.NEWLINENEWLINEHowever, she quickly realized that she was lost. The dense forest was confusing, and|8| hike|-12.077049255371094|-110.33354949951172|-98.25650024414062|-9.983301162719727|2.093748092651367
google/gemma-3-1b-it|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment.NEWLINENEWLINEHowever, she quickly realized that she was lost. The dense forest was confusing, and|9| to|-10.155960083007812|-99.81671142578125|-89.66075134277344|-9.983301162719727|0.17265892028808594
google/gemma-3-1b-it|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment.NEWLINENEWLINEHowever, she quickly realized that she was lost. The dense forest was confusing, and|10| the|-11.342002868652344|-96.42613220214844|-85.0841293334961|-9.983301162719727|1.3587017059326172
google/gemma-3-1b-it|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment.NEWLINENEWLINEHowever, she quickly realized that she was lost. The dense forest was confusing, and|11| mountains|-10.164970397949219|-96.4421615600586|-86.27719116210938|-9.983301162719727|0.1816692352294922
google/gemma-3-1b-it|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment.NEWLINENEWLINEHowever, she quickly realized that she was lost. The dense forest was confusing, and|12|.|-9.983428955078125|-93.3136215209961|-83.33019256591797|-9.983301162719727|0.0001277923583984375
google/gemma-3-1b-it|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment.NEWLINENEWLINEHowever, she quickly realized that she was lost. The dense forest was confusing, and|13| She|-10.998435974121094|-92.69084167480469|-81.6924057006836|-9.983301162719727|1.0151348114013672
google/gemma-3-1b-it|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment.NEWLINENEWLINEHowever, she quickly realized that she was lost. The dense forest was confusing, and|14| packed|-9.959632873535156|-91.85301971435547|-81.89338684082031|-9.983301162719727|-0.023668289184570312
google/gemma-3-1b-it|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment.NEWLINENEWLINEHowever, she quickly realized that she was lost. The dense forest was confusing, and|15| her|-10.379447937011719|-89.07551574707031|-78.6960678100586|-9.983301162719727|0.3961467742919922
