model_name|prompt|response|muid|mu_val|D|D_num|D_denom|A_num|LogA|time
Qwen/Qwen2.5-1.5B-Instruct|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| improve. However, as he arrived, he saw that the beach was already crowded with other surfers|0|The|-14.393531799316406|-137.55471801757812|-123.16118621826172|-14.662395477294922|-0.2688636779785156|139.89945244789124
Qwen/Qwen2.5-1.5B-Instruct|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| improve. However, as he arrived, he saw that the beach was already crowded with other surfers|1| sur|-14.76800537109375|-134.23297119140625|-119.4649658203125|-14.662395477294922|0.10560989379882812|142.1486566066742
Qwen/Qwen2.5-1.5B-Instruct|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| improve. However, as he arrived, he saw that the beach was already crowded with other surfers|2|fer|-14.665252685546875|-121.74324035644531|-107.07798767089844|-14.662395477294922|0.002857208251953125|143.465327501297
Qwen/Qwen2.5-1.5B-Instruct|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| improve. However, as he arrived, he saw that the beach was already crowded with other surfers|3| woke|-14.668769836425781|-118.63336944580078|-103.964599609375|-14.662395477294922|0.006374359130859375|142.54317140579224
Qwen/Qwen2.5-1.5B-Instruct|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| improve. However, as he arrived, he saw that the beach was already crowded with other surfers|4| up|-14.665946960449219|-106.54639434814453|-91.88044738769531|-14.662395477294922|0.003551483154296875|144.00958776474
Qwen/Qwen2.5-1.5B-Instruct|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| improve. However, as he arrived, he saw that the beach was already crowded with other surfers|5| early|-14.760177612304688|-106.34026336669922|-91.58008575439453|-14.662395477294922|0.09778213500976562|142.4046347141266
Qwen/Qwen2.5-1.5B-Instruct|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| improve. However, as he arrived, he saw that the beach was already crowded with other surfers|6| to|-14.664947509765625|-104.3704605102539|-89.70551300048828|-14.662395477294922|0.002552032470703125|143.08040809631348
Qwen/Qwen2.5-1.5B-Instruct|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| improve. However, as he arrived, he saw that the beach was already crowded with other surfers|7| go|-14.661163330078125|-102.06354522705078|-87.40238189697266|-14.662395477294922|-0.001232147216796875|144.94949626922607
Qwen/Qwen2.5-1.5B-Instruct|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| improve. However, as he arrived, he saw that the beach was already crowded with other surfers|8| surfing|-15.851081848144531|-99.5698471069336|-83.71876525878906|-14.662395477294922|1.1886863708496094|143.4513931274414
Qwen/Qwen2.5-1.5B-Instruct|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| improve. However, as he arrived, he saw that the beach was already crowded with other surfers|9|.|-14.626602172851562|-98.62796783447266|-84.0013656616211|-14.662395477294922|-0.035793304443359375|142.7053039073944
Qwen/Qwen2.5-1.5B-Instruct|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| improve. However, as he arrived, he saw that the beach was already crowded with other surfers|10| He|-14.710762023925781|-97.6556396484375|-82.94487762451172|-14.662395477294922|0.048366546630859375|143.49462485313416
