model_name|prompt|response|muid|mu_val|D|D_num|D_denom|A_num|LogA
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|0|<|begin_of_text|>|-15.471809387207031|-130.12705993652344|-114.6552505493164|-14.344680786132812|1.1271286010742188
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|1|Dr|-15.128196716308594|-127.12518310546875|-111.99698638916016|-14.344680786132812|0.7835159301757812
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|2|.|-14.348854064941406|-120.39885711669922|-106.05000305175781|-14.344680786132812|0.00417327880859375
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|3| Chang|-14.361198425292969|-120.136962890625|-105.77576446533203|-14.344680786132812|0.01651763916015625
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|4| was|-14.373245239257812|-112.09278106689453|-97.71953582763672|-14.344680786132812|0.028564453125
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|5| excited|-14.417388916015625|-107.628173828125|-93.21078491210938|-14.344680786132812|0.0727081298828125
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|6| about|-14.350883483886719|-102.78181457519531|-88.4309310913086|-14.344680786132812|0.00620269775390625
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|7| her|-14.523162841796875|-99.9159927368164|-85.39282989501953|-14.344680786132812|0.1784820556640625
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|8| hike|-15.142318725585938|-91.53275299072266|-76.39043426513672|-14.344680786132812|0.797637939453125
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|9| to|-14.704727172851562|-84.34971618652344|-69.64498901367188|-14.344680786132812|0.36004638671875
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|10| the|-14.461692810058594|-86.20272827148438|-71.74103546142578|-14.344680786132812|0.11701202392578125
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|11| mountains|-14.654129028320312|-82.04163360595703|-67.38750457763672|-14.344680786132812|0.3094482421875
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|12|.|-14.346817016601562|-79.64645385742188|-65.29963684082031|-14.344680786132812|0.00213623046875
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|13| She|-14.350166320800781|-78.83396911621094|-64.48380279541016|-14.344680786132812|0.00548553466796875
