model_name|prompt|response|muid|mu_val|D|D_num|D_denom|A_num|LogA
EleutherAI/gpt-neo-1.3B|Context: "Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn't sure he was fully ready." Sentence: "As Tim stood in front of the audience, he took deep breaths and tried to remain _____.| He was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn|0|Context|-6.518951416015625|-160.27154541015625|-153.75259399414062|-6.3811564445495605|0.13779497146606445
EleutherAI/gpt-neo-1.3B|Context: "Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn't sure he was fully ready." Sentence: "As Tim stood in front of the audience, he took deep breaths and tried to remain _____.| He was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn|1|:|-6.3564910888671875|-151.73529052734375|-145.37879943847656|-6.3811564445495605|-0.024665355682373047
EleutherAI/gpt-neo-1.3B|Context: "Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn't sure he was fully ready." Sentence: "As Tim stood in front of the audience, he took deep breaths and tried to remain _____.| He was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn|2| "|-6.38238525390625|-148.5889129638672|-142.20652770996094|-6.3811564445495605|0.0012288093566894531
EleutherAI/gpt-neo-1.3B|Context: "Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn't sure he was fully ready." Sentence: "As Tim stood in front of the audience, he took deep breaths and tried to remain _____.| He was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn|3|Tim|-6.366455078125|-143.5337677001953|-137.1673126220703|-6.3811564445495605|-0.014701366424560547
EleutherAI/gpt-neo-1.3B|Context: "Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn't sure he was fully ready." Sentence: "As Tim stood in front of the audience, he took deep breaths and tried to remain _____.| He was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn|4| was|-6.395538330078125|-135.4600372314453|-129.0644989013672|-6.3811564445495605|0.014381885528564453
EleutherAI/gpt-neo-1.3B|Context: "Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn't sure he was fully ready." Sentence: "As Tim stood in front of the audience, he took deep breaths and tried to remain _____.| He was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn|5| nervous|-6.828819274902344|-131.16567993164062|-124.33686065673828|-6.3811564445495605|0.4476628303527832
EleutherAI/gpt-neo-1.3B|Context: "Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn't sure he was fully ready." Sentence: "As Tim stood in front of the audience, he took deep breaths and tried to remain _____.| He was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn|6| about|-7.048606872558594|-123.62335205078125|-116.57474517822266|-6.3811564445495605|0.6674504280090332
EleutherAI/gpt-neo-1.3B|Context: "Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn't sure he was fully ready." Sentence: "As Tim stood in front of the audience, he took deep breaths and tried to remain _____.| He was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn|7| his|-6.825920104980469|-122.01373291015625|-115.18781280517578|-6.3811564445495605|0.4447636604309082
EleutherAI/gpt-neo-1.3B|Context: "Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn't sure he was fully ready." Sentence: "As Tim stood in front of the audience, he took deep breaths and tried to remain _____.| He was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn|8| talk|-10.708023071289062|-119.67095184326172|-108.96292877197266|-6.3811564445495605|4.326866626739502
EleutherAI/gpt-neo-1.3B|Context: "Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn't sure he was fully ready." Sentence: "As Tim stood in front of the audience, he took deep breaths and tried to remain _____.| He was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn|9|.|-6.383369445800781|-113.47276306152344|-107.08939361572266|-6.3811564445495605|0.002213001251220703
EleutherAI/gpt-neo-1.3B|Context: "Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn't sure he was fully ready." Sentence: "As Tim stood in front of the audience, he took deep breaths and tried to remain _____.| He was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn|10| He|-6.423362731933594|-111.11148071289062|-104.68811798095703|-6.3811564445495605|0.0422062873840332
EleutherAI/gpt-neo-1.3B|Context: "Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn't sure he was fully ready." Sentence: "As Tim stood in front of the audience, he took deep breaths and tried to remain _____.| He was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn|11| had|-6.9282684326171875|-110.17840576171875|-103.25013732910156|-6.3811564445495605|0.547111988067627
EleutherAI/gpt-neo-1.3B|Context: "Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn't sure he was fully ready." Sentence: "As Tim stood in front of the audience, he took deep breaths and tried to remain _____.| He was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn|12| been|-6.3855133056640625|-107.85413360595703|-101.46862030029297|-6.3811564445495605|0.004356861114501953
EleutherAI/gpt-neo-1.3B|Context: "Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn't sure he was fully ready." Sentence: "As Tim stood in front of the audience, he took deep breaths and tried to remain _____.| He was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn|13| preparing|-8.163917541503906|-105.34896850585938|-97.18505096435547|-6.3811564445495605|1.7827610969543457
