model_name|prompt|response|muid|mu_val|D|D_num|D_denom|A_num|LogA
EleutherAI/gpt-neo-1.3B|Context: "Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn't sure he was fully ready." Sentence: "As Tim stood in front of the audience, he took deep breaths and tried to remain _____.| Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn|0|Context|-5.1116180419921875|-158.8642120361328|-153.75259399414062|-5.292723178863525|-0.1811051368713379
EleutherAI/gpt-neo-1.3B|Context: "Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn't sure he was fully ready." Sentence: "As Tim stood in front of the audience, he took deep breaths and tried to remain _____.| Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn|1|:|-5.28082275390625|-150.6596221923828|-145.37879943847656|-5.292723178863525|-0.01190042495727539
EleutherAI/gpt-neo-1.3B|Context: "Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn't sure he was fully ready." Sentence: "As Tim stood in front of the audience, he took deep breaths and tried to remain _____.| Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn|2| "|-5.2927093505859375|-147.49923706054688|-142.20652770996094|-5.292723178863525|-1.3828277587890625e-05
EleutherAI/gpt-neo-1.3B|Context: "Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn't sure he was fully ready." Sentence: "As Tim stood in front of the audience, he took deep breaths and tried to remain _____.| Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn|3|Tim|-5.2958984375|-142.4632110595703|-137.1673126220703|-5.292723178863525|0.0031752586364746094
EleutherAI/gpt-neo-1.3B|Context: "Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn't sure he was fully ready." Sentence: "As Tim stood in front of the audience, he took deep breaths and tried to remain _____.| Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn|4| was|-5.3053131103515625|-134.36981201171875|-129.0644989013672|-5.292723178863525|0.01258993148803711
EleutherAI/gpt-neo-1.3B|Context: "Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn't sure he was fully ready." Sentence: "As Tim stood in front of the audience, he took deep breaths and tried to remain _____.| Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn|5| nervous|-5.745262145996094|-130.08212280273438|-124.33686065673828|-5.292723178863525|0.45253896713256836
EleutherAI/gpt-neo-1.3B|Context: "Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn't sure he was fully ready." Sentence: "As Tim stood in front of the audience, he took deep breaths and tried to remain _____.| Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn|6| about|-5.9587554931640625|-122.53350067138672|-116.57474517822266|-5.292723178863525|0.6660323143005371
EleutherAI/gpt-neo-1.3B|Context: "Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn't sure he was fully ready." Sentence: "As Tim stood in front of the audience, he took deep breaths and tried to remain _____.| Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn|7| his|-5.738677978515625|-120.9264907836914|-115.18781280517578|-5.292723178863525|0.4459547996520996
EleutherAI/gpt-neo-1.3B|Context: "Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn't sure he was fully ready." Sentence: "As Tim stood in front of the audience, he took deep breaths and tried to remain _____.| Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn|8| talk|-9.630775451660156|-118.59370422363281|-108.96292877197266|-5.292723178863525|4.338052272796631
EleutherAI/gpt-neo-1.3B|Context: "Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn't sure he was fully ready." Sentence: "As Tim stood in front of the audience, he took deep breaths and tried to remain _____.| Tim was nervous about his talk. He had been preparing and practicing for weeks, but he still wasn|9|.|-5.293586730957031|-112.38298034667969|-107.08939361572266|-5.292723178863525|0.0008635520935058594
