model_name|prompt|response|muid|mu_val|D|D_num|D_denom|A_num|LogA
allenai/OLMo-2-0425-1B|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| 1997 or 2007?"  Answer: 1997NEWLINEOutput: 1997|0|Pass|-14.220993041992188|-137.35948181152344|-123.13848876953125|-13.49050521850586|0.7304878234863281
allenai/OLMo-2-0425-1B|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| 1997 or 2007?"  Answer: 1997NEWLINEOutput: 1997|1|age|-13.76690673828125|-128.89454650878906|-115.12763977050781|-13.49050521850586|0.2764015197753906
allenai/OLMo-2-0425-1B|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| 1997 or 2007?"  Answer: 1997NEWLINEOutput: 1997|2|:|-13.553077697753906|-126.64250183105469|-113.08942413330078|-13.49050521850586|0.06257247924804688
allenai/OLMo-2-0425-1B|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| 1997 or 2007?"  Answer: 1997NEWLINEOutput: 1997|3| "|-13.574836730957031|-126.5537109375|-112.97887420654297|-13.49050521850586|0.08433151245117188
allenai/OLMo-2-0425-1B|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| 1997 or 2007?"  Answer: 1997NEWLINEOutput: 1997|4|In|-13.516921997070312|-122.81635284423828|-109.29943084716797|-13.49050521850586|0.026416778564453125
allenai/OLMo-2-0425-1B|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| 1997 or 2007?"  Answer: 1997NEWLINEOutput: 1997|5| |-13.490455627441406|-119.91716003417969|-106.42670440673828|-13.49050521850586|-4.9591064453125e-05
allenai/OLMo-2-0425-1B|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| 1997 or 2007?"  Answer: 1997NEWLINEOutput: 1997|6|199|-16.058135986328125|-118.35025024414062|-102.2921142578125|-13.49050521850586|2.5676307678222656
allenai/OLMo-2-0425-1B|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| 1997 or 2007?"  Answer: 1997NEWLINEOutput: 1997|7|7|-15.417556762695312|-116.65321350097656|-101.23565673828125|-13.49050521850586|1.9270515441894531
allenai/OLMo-2-0425-1B|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| 1997 or 2007?"  Answer: 1997NEWLINEOutput: 1997|8|,|-13.481422424316406|-114.12100982666016|-100.63958740234375|-13.49050521850586|-0.009082794189453125
allenai/OLMo-2-0425-1B|Passage: "In 1997, NASA's Cassini space probe was launched to explore Saturn. It was active for twenty years, spending it's last 13 years orbiting Saturn." Question: "When was the Cassini launched?| 1997 or 2007?"  Answer: 1997NEWLINEOutput: 1997|9| NASA|-13.488410949707031|-114.0488510131836|-100.56044006347656|-13.49050521850586|-0.002094268798828125
