model_name|prompt|response|muid|mu_val|D|D_num|D_denom|A_num|LogA
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|0|The|-29.065582275390625|-167.4720916748047|-138.40650939941406|-28.708240509033203|0.3573417663574219
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|1| sur|-28.720733642578125|-164.59500122070312|-135.874267578125|-28.708240509033203|0.012493133544921875
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|2|fer|-28.680152893066406|-153.0366973876953|-124.3565444946289|-28.708240509033203|-0.028087615966796875
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|3| woke|-28.718421936035156|-151.34446716308594|-122.62604522705078|-28.708240509033203|0.010181427001953125
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|4| up|-28.680137634277344|-143.99444580078125|-115.3143081665039|-28.708240509033203|-0.028102874755859375
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|5| early|-28.603172302246094|-143.14842224121094|-114.54524993896484|-28.708240509033203|-0.10506820678710938
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|6| to|-28.68004608154297|-141.12152099609375|-112.44147491455078|-28.708240509033203|-0.028194427490234375
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|7| go|-28.703109741210938|-138.74978637695312|-110.04667663574219|-28.708240509033203|-0.005130767822265625
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|8| surfing|-29.379074096679688|-133.58340454101562|-104.20433044433594|-28.708240509033203|0.6708335876464844
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|9|.|-28.680519104003906|-131.07766723632812|-102.39714813232422|-28.708240509033203|-0.027721405029296875
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|10| He|-28.690101623535156|-129.0462188720703|-100.35611724853516|-28.708240509033203|-0.018138885498046875
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|11| checked|-28.72193145751953|-127.3753890991211|-98.65345764160156|-28.708240509033203|0.013690948486328125
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|12| the|-28.68761444091797|-121.4920425415039|-92.80442810058594|-28.708240509033203|-0.020626068115234375
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|13| weather|-28.711349487304688|-119.15709686279297|-90.44574737548828|-28.708240509033203|0.003108978271484375
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|14| forecast|-28.72772979736328|-116.31909942626953|-87.59136962890625|-28.708240509033203|0.019489288330078125
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|15| to|-28.679969787597656|-114.13508605957031|-85.45511627197266|-28.708240509033203|-0.028270721435546875
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|16| see|-28.681640625|-110.64961242675781|-81.96797180175781|-28.708240509033203|-0.026599884033203125
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|17| if|-28.690269470214844|-109.71161651611328|-81.02134704589844|-28.708240509033203|-0.017971038818359375
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|18| it|-28.692710876464844|-109.2299575805664|-80.53724670410156|-28.708240509033203|-0.015529632568359375
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|19| would|-28.72174072265625|-107.4245376586914|-78.70279693603516|-28.708240509033203|0.013500213623046875
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|20| be|-28.692245483398438|-104.66705322265625|-75.97480773925781|-28.708240509033203|-0.015995025634765625
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|21| wind|-28.82353973388672|-103.46725463867188|-74.64371490478516|-28.708240509033203|0.11529922485351562
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|22|y|-28.681015014648438|-99.56915283203125|-70.88813781738281|-28.708240509033203|-0.027225494384765625
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|23|,|-28.646873474121094|-98.6297836303711|-69.98291015625|-28.708240509033203|-0.061367034912109375
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|24| since|-28.95848846435547|-93.79621124267578|-64.83772277832031|-28.708240509033203|0.2502479553222656
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|25| the|-28.876434326171875|-90.33941650390625|-61.462982177734375|-28.708240509033203|0.16819381713867188
openai-community/gpt2|The surfer woke up early to go surfing. He checked the weather forecast to see if it would be windy, since the previous days the weather had been calm. He quickly grabbed his equipment and headed to the beach, hoping the weather would| be good.NEWLINENEWLINEThe surfers were not happy with the weather. They were worried about the|26| previous|-28.82036590576172|-88.86652374267578|-60.04615783691406|-28.708240509033203|0.11212539672851562
